
104.00,1,225.00
1124.00,1,225.00
13984.00,6,225.00
22088.00,19,225.00
30208.00,34,225.00
42496.00,65,225.00
50732.00,88,225.00
63120.00,127,225.00
71316.00,154,225.00
83508.00,197,225.00
95624.00,241,225.00
104140.00,273,225.00
116236.00,319,225.00
128588.00,368,225.00
140720.00,417,225.00
152964.00,467,225.00
161260.00,502,225.00
173628.00,554,225.00
185856.00,606,225.00
198076.00,658,225.00
206432.00,694,169.50
218708.00,745,169.50
230928.00,796,169.50
243216.00,847,169.50
255436.00,897,169.50
263732.00,931,169.50
276112.00,981,169.50
288652.00,1033,169.50
300820.00,1083,-36.50
313024.00,1132,-36.50
325316.00,1174,-36.50
337564.00,1211,-36.50
345788.00,1235,-36.50
358168.00,1268,-36.50
370608.00,1294,-36.50
382664.00,1318,-36.50
395180.00,1341,-36.50
407416.00,1356,-173.00
419504.00,1359,-173.00
431916.00,1347,-173.00
444104.00,1328,-173.00
456716.00,1303,-173.00
468724.00,1274,-173.00
481248.00,1241,-173.00
493696.00,1204,-173.00
505552.00,1169,-95.00
518172.00,1128,-95.00
530488.00,1089,-95.00
542448.00,1053,-95.00
554724.00,1014,-95.00
567228.00,976,-95.00
579336.00,938,-95.00
591672.00,902,-95.00
603880.00,864,60.00
612376.00,841,60.00
624512.00,815,60.00
636632.00,795,60.00
645040.00,785,60.00
657248.00,774,60.00
669396.00,767,60.00
677872.00,766,60.00
689976.00,764,60.00
702076.00,762,119.00
710892.00,764,119.00
722992.00,770,119.00
735096.00,782,119.00
747304.00,796,119.00
755880.00,808,119.00
768076.00,828,119.00
780180.00,851,119.00
792636.00,874,119.00
804680.00,900,57.00
813108.00,918,57.00
825324.00,942,57.00
837660.00,967,57.00
845976.00,984,57.00
858112.00,1007,57.00
870452.00,1031,57.00
882692.00,1055,57.00
890928.00,1070,57.00
903116.00,1093,-42.00
915576.00,1116,-42.00
927732.00,1132,-42.00
939972.00,1145,-42.00
952512.00,1156,-42.00
964564.00,1163,-42.00
972916.00,1166,-42.00
985264.00,1171,-42.00
997624.00,1171,-42.00
1009896.00,1168,-85.50
1022116.00,1161,-85.50
1034620.00,1154,-85.50
1046596.00,1142,-85.50
1059136.00,1130,-85.50
1071496.00,1114,-85.50
1083540.00,1098,-85.50
1095828.00,1079,-85.50
1108364.00,1060,-37.00
1124244.00,1036,-37.00
1136580.00,1017,-37.00
1148984.00,1000,-37.00
1161328.00,984,-37.00
1173528.00,967,-37.00
1185764.00,952,-37.00
1198036.00,938,-37.00
1206512.00,928,32.00
1218760.00,916,32.00
1231072.00,908,32.00
1243308.00,901,32.00
1255512.00,898,32.00
1267772.00,901,32.00
1276676.00,904,32.00
1288496.00,906,32.00
1300840.00,906,47.00
1312920.00,905,47.00
1321404.00,905,47.00
1333628.00,905,47.00
1345964.00,905,47.00
1358024.00,905,47.00
1370520.00,905,47.00
1378792.00,905,47.00
1390916.00,905,47.00
1403108.00,905,47.50
1415444.00,905,47.50
1427624.00,905,47.50
1436176.00,905,47.50
1448244.00,905,47.50
1460900.00,905,47.50
1473032.00,905,47.50
1484992.00,905,47.50
1493484.00,905,47.50
1505672.00,905,47.50
1518016.00,905,47.50
1530408.00,905,47.50
1542424.00,905,47.50
1550756.00,905,47.50
1563256.00,905,47.50
1575432.00,905,47.50
1587616.00,905,47.50
1596212.00,905,47.50
1608252.00,905,47.50
1620476.00,905,47.50
1632820.00,905,47.50
1645320.00,905,47.50
1653324.00,905,47.50
1665504.00,905,47.50
1677732.00,905,47.50
1690020.00,905,47.50
1702376.00,905,47.50
1711132.00,905,47.50
1722988.00,905,47.50
1735488.00,905,47.50
1747616.00,905,47.50
1759576.00,905,47.50
1768072.00,905,47.50
1780412.00,905,47.50
1792584.00,905,47.50
1804784.00,905,47.50
1817064.00,905,47.50
1825448.00,905,47.50
1837736.00,905,47.50
1850132.00,905,47.50
1862308.00,905,47.50
1870640.00,905,47.50
1882928.00,905,47.50
1895208.00,905,47.50
1907352.00,905,47.50
1919632.00,905,47.50
1927968.00,905,47.50
1940360.00,905,47.50
1952596.00,905,47.50
1964768.00,905,47.50
1976956.00,905,47.50
1985552.00,905,47.50
1997564.00,905,47.50
2009916.00,905,47.50
2022144.00,905,47.50
2034420.00,905,47.50
2042852.00,905,47.50
2055028.00,905,47.50
2067192.00,905,47.50
2079584.00,905,47.50
2088012.00,905,47.50
2099988.00,905,47.50
2112224.00,905,47.50
2124540.00,905,47.50
2136764.00,905,47.50
2145172.00,905,47.50
2157448.00,905,47.50
2169660.00,905,47.50
2181880.00,905,47.50
2193984.00,905,47.50
2202576.00,905,47.50
2214684.00,905,47.50
2227116.00,905,47.50
2239224.00,905,47.50
2251500.00,905,47.50
2259804.00,905,47.50
2272176.00,905,47.50
2284556.00,905,47.50
2296724.00,905,47.50
2308844.00,905,47.50
2317360.00,905,47.50
2329528.00,905,47.50
2341900.00,905,47.50
2354124.00,905,47.50
2362760.00,905,47.50
2374636.00,905,47.50
2387020.00,905,47.50
2399296.00,905,47.50
2411412.00,905,47.50
2420108.00,905,47.50
2432216.00,905,47.50
2444208.00,905,47.50
2456644.00,905,47.50
2468864.00,905,47.50
2477280.00,905,47.50
2489544.00,905,47.50
2501724.00,905,47.50
2513988.00,905,47.50
2526156.00,905,47.50
2534516.00,905,47.50
2546956.00,905,47.50
2559056.00,905,47.50
2571216.00,905,47.50
2583592.00,905,47.50
2592012.00,905,47.50
2604028.00,905,47.50
2616400.00,905,47.50
2628676.00,905,47.50
2636984.00,905,47.50
2649256.00,905,47.50
2661460.00,905,47.50
2673788.00,905,47.50
2685948.00,905,47.50
2694692.00,905,47.50
2706704.00,905,47.50
2718804.00,905,47.50
2731244.00,905,47.50
2743404.00,905,47.50
2751768.00,905,47.50
2763984.00,905,47.50
2776256.00,905,47.50
2788464.00,905,47.50
2800648.00,905,47.50
2809276.00,905,47.50
2821548.00,905,47.50
