time,setpoint,response,pwm,,Parameters
9414608,100.00,86.00,6.61,,,
9436932,100.00,83.68,8.16,,,
9470804,100.00,99.95,0.80,,,
9496824,100.00,110.80,-5.40,,,
9531352,100.00,110.02,-5.01,,,
9559424,100.00,99.95,-0.36,,,
9592660,100.00,91.43,4.29,,,
9618676,100.00,92.20,3.90,,,
9651196,100.00,98.40,1.19,,,
9682176,100.00,103.05,-1.52,,,
9719412,100.00,104.60,-2.30,,,
9749544,100.00,103.82,-1.91,,,
9781608,100.00,103.05,-1.52,,,
9813380,100.00,103.05,-1.52,,,
9849976,100.00,103.05,-1.52,,,
9880184,100.00,103.05,-1.52,,,
9917436,100.00,103.05,-1.52,,,
9957764,100.00,103.05,-1.52,,,
9986076,100.00,103.05,-1.52,,,
10006372,100.00,103.05,-1.52,,,
10031816,100.00,103.05,-1.52,,,
10048128,100.00,103.05,-1.52,,,
10077348,100.00,103.05,-1.52,,,
10094632,100.00,103.05,-1.52,,,
10116616,100.00,103.05,-1.52,,,
10137356,100.00,103.05,-1.52,,,
10164364,100.00,103.05,-1.52,,,
10180868,100.00,103.05,-1.52,,,
10210276,100.00,103.05,-1.52,,,
10229784,100.00,103.05,-1.52,,,
10253788,100.00,103.05,-1.52,,,
10272508,100.00,103.05,-1.52,,,
10301992,100.00,103.05,-1.52,,,
10319860,100.00,103.05,-1.52,,,
10348300,100.00,103.05,-1.52,,,
10364224,100.00,103.05,-1.52,,,
10392196,100.00,103.05,-1.52,,,
10412548,100.00,103.05,-1.52,,,
10439356,100.00,103.05,-1.52,,,
10461348,100.00,103.05,-1.52,,,
10490176,100.00,103.05,-1.52,,,
10508892,100.00,103.05,-1.52,,,
10541372,100.00,103.05,-1.52,,,
10559704,100.00,103.05,-1.52,,,
10586044,100.00,103.05,-1.52,,,
10603988,100.00,103.05,-1.52,,,
10631768,100.00,103.05,-1.52,,,
10649436,100.00,103.05,-1.52,,,
10678852,100.00,103.05,-1.52,,,
10697772,100.00,103.05,-1.52,,,
10729668,100.00,103.05,-1.52,,,
10746952,100.00,103.05,-1.52,,,
10775584,100.00,103.05,-1.52,,,
10796324,100.00,103.05,-1.52,,,
10826708,100.00,103.05,-1.52,,,
10844460,100.00,103.05,-1.52,,,
10878304,100.00,103.05,-1.52,,,
10897416,100.00,103.05,-1.52,,,
10931528,100.00,103.05,-1.52,,,
10951412,100.00,103.05,-1.52,,,
10977244,100.00,103.05,-1.52,,,
10997212,100.00,103.05,-1.52,,,
11024872,100.00,103.05,-1.52,,,
11041964,100.00,103.05,-1.52,,,
11068768,100.00,103.05,-1.52,,,
11084612,100.00,103.05,-1.52,,,
11108816,100.00,103.05,-1.52,,,
11126880,100.00,103.05,-1.52,,,
11154268,100.00,103.05,-1.52,,,
11170772,100.00,103.05,-1.52,,,
11196804,100.00,103.05,-1.52,,,
11215916,100.00,103.05,-1.52,,,
11240308,100.00,103.05,-1.52,,,
11256424,100.00,103.05,-1.52,,,
11284204,100.00,103.05,-1.52,,,
11301488,100.00,103.05,-1.52,,,
11327908,100.00,103.05,-1.52,,,
11347600,100.00,103.05,-1.52,,,
11371216,100.00,103.05,-1.52,,,
11388308,100.00,103.05,-1.52,,,
11413680,100.00,103.05,-1.52,,,
11431616,100.00,103.05,-1.52,,,
11456796,100.00,103.05,-1.52,,,
11474156,100.00,103.05,-1.52,,,
11499912,100.00,103.05,-1.52,,,
11517196,100.00,103.05,-1.52,,,
11546412,100.00,103.05,-1.52,,,
11563384,100.00,103.05,-1.52,,,
11588168,100.00,103.05,-1.52,,,
11606500,100.00,103.05,-1.52,,,
11634472,100.00,103.05,-1.52,,,
11651756,100.00,103.05,-1.52,,,
11680784,100.00,103.05,-1.52,,,
11697940,100.00,103.05,-1.52,,,
11723900,100.00,103.05,-1.52,,,
11741644,100.00,103.05,-1.52,,,
11768452,100.00,103.05,-1.52,,,
11783716,100.00,103.05,-1.52,,,
11813128,100.00,103.05,-1.52,,,
11829512,100.00,103.05,-1.52,,,
11854492,100.00,103.05,-1.52,,,
11872824,100.00,103.05,-1.52,,,
11900796,100.00,103.05,-1.52,,,
11920960,100.00,103.05,-1.52,,,
11949132,100.00,103.05,-1.52,,,
11964000,100.00,103.05,-1.52,,,
11988592,100.00,103.05,-1.52,,,
12011352,100.00,103.05,-1.52,,,
12038436,100.00,103.05,-1.52,,,
12054276,100.00,103.05,-1.52,,,
12086760,100.00,103.05,-1.52,,,
12106260,100.00,103.05,-1.52,,,
12134232,100.00,103.05,-1.52,,,
12151132,100.00,103.05,-1.52,,,
12175532,100.00,103.05,-1.52,,,
12192420,100.00,103.05,-1.52,,,
12220084,100.00,103.05,-1.52,,,
12237756,100.00,103.05,-1.52,,,
12264836,100.00,103.05,-1.52,,,
12284336,100.00,103.05,-1.52,,,
12307296,100.00,103.05,-1.52,,,
12324192,100.00,103.05,-1.52,,,
12354652,100.00,103.05,-1.52,,,
12374804,100.00,103.05,-1.52,,,
12399984,100.00,103.05,-1.52,,,
12417848,100.00,103.05,-1.52,,,
12442832,100.00,103.05,-1.52,,,
12460192,100.00,103.05,-1.52,,,
12486604,100.00,103.05,-1.52,,,
12504744,100.00,103.05,-1.52,,,
12529528,100.00,103.05,-1.52,,,
12546884,100.00,103.05,-1.52,,,
12571868,100.00,103.05,-1.52,,,
12590396,100.00,103.05,-1.52,,,
12617788,100.00,103.05,-1.52,,,
12637304,100.00,103.05,0.00,,,
12664064,100.00,103.05,0.00,,,
12683260,100.00,103.05,0.00,,,
12708540,100.00,103.05,0.00,,,
12725072,100.00,103.05,0.00,,,
12757320,100.00,103.05,0.00,,,
12775332,100.00,103.05,0.00,,,
12802688,100.00,103.05,0.00,,,
12821292,100.00,103.05,0.00,,,
12848048,100.00,103.05,0.00,,,
12865468,100.00,103.05,0.00,,,
12891636,100.00,103.05,0.00,,,
12910392,100.00,103.05,0.00,,,
12938784,100.00,103.05,0.00,,,
12956648,100.00,103.05,0.00,,,
12982220,100.00,103.05,0.00,,,
13000980,100.00,103.05,0.00,,,
